temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	2630.000000	2409.000000	2795.000000	462500	465634	Fri Oct 23 14:59:18 2020
75.000000	2604.000000	2436.000000	2798.000000	462500	466682	Fri Oct 23 15:28:41 2020
56.250000	2696.000000	2420.000000	2801.000000	462500	468123	Fri Oct 23 15:58:07 2020
42.187500	2477.000000	2401.000000	2747.000000	462500	470066	Fri Oct 23 16:27:34 2020
31.640625	2560.000000	2368.000000	2738.000000	462500	472503	Fri Oct 23 16:57:01 2020
23.730469	2518.000000	2325.000000	2719.000000	462500	476092	Fri Oct 23 17:26:27 2020
17.797852	2552.000000	2290.000000	2706.000000	462500	480508	Fri Oct 23 17:56:00 2020
13.348389	2427.000000	2271.000000	2681.000000	462500	486511	Fri Oct 23 18:25:36 2020
10.011292	2369.000000	2229.000000	2560.000000	462500	495025	Fri Oct 23 18:55:15 2020
7.508469	2373.000000	2156.000000	2467.000000	462500	506548	Fri Oct 23 19:25:03 2020
5.631351	2210.000000	2042.000000	2394.000000	462500	521517	Fri Oct 23 19:55:01 2020
4.223514	2085.000000	1936.000000	2245.000000	462500	542090	Fri Oct 23 20:25:18 2020
3.167635	1976.000000	1798.000000	2089.000000	462500	570557	Fri Oct 23 20:55:57 2020
2.375726	1798.000000	1607.000000	1984.000000	462500	610452	Fri Oct 23 21:27:11 2020
1.781795	1605.000000	1421.000000	1795.000000	462500	666371	Fri Oct 23 21:59:18 2020
1.336346	1359.000000	1196.000000	1607.000000	462500	745792	Fri Oct 23 22:32:36 2020
1.002260	1110.000000	966.000000	1359.000000	462500	854038	Fri Oct 23 23:07:11 2020
0.751695	838.000000	732.000000	1109.000000	462500	1000358	Fri Oct 23 23:43:20 2020
0.563771	567.000000	508.000000	841.000000	462500	1197450	Sat Oct 24 00:24:00 2020
0.422828	385.000000	316.000000	570.000000	462500	1443588	Sat Oct 24 01:11:51 2020
0.317121	209.000000	174.000000	385.000000	462500	1713817	Sat Oct 24 02:08:28 2020
0.237841	89.000000	72.000000	209.000000	438498	1850000	Sat Oct 24 03:09:27 2020
0.178381	38.000000	22.000000	89.000000	405761	1850000	Sat Oct 24 04:10:27 2020
0.133786	4.000000	3.000000	39.000000	394266	1850000	Sat Oct 24 05:11:22 2020
0.100339	1.000000	1.000000	4.000000	390174	1850000	Sat Oct 24 06:12:17 2020
0.075254	1.000000	1.000000	2.000000	389930	1850000	Sat Oct 24 07:13:13 2020
0.056441	1.000000	1.000000	1.000000	389593	1850000	Sat Oct 24 08:14:09 2020
