temp     	E         	minE      	maxE      	AcceptN	TrialN	Time
100.000000	1122.000000	998.000000	1206.000000	228750	230093	Sun Feb 14 15:01:29 2021
75.000000	1129.000000	1007.000000	1236.000000	228750	230689	Sun Feb 14 15:07:13 2021
56.250000	1109.000000	999.000000	1211.000000	228750	231140	Sun Feb 14 15:13:06 2021
42.187500	1114.000000	977.000000	1211.000000	228750	232106	Sun Feb 14 15:18:56 2021
31.640625	1133.000000	991.000000	1206.000000	228750	233144	Sun Feb 14 15:24:59 2021
23.730469	1137.000000	982.000000	1204.000000	228750	234620	Sun Feb 14 15:30:54 2021
17.797852	1049.000000	958.000000	1185.000000	228750	236554	Sun Feb 14 15:36:37 2021
13.348389	1030.000000	936.000000	1153.000000	228750	239338	Sun Feb 14 15:42:10 2021
10.011292	1042.000000	934.000000	1131.000000	228750	242918	Sun Feb 14 15:48:13 2021
7.508469	987.000000	883.000000	1103.000000	228750	247962	Sun Feb 14 15:54:04 2021
5.631351	954.000000	838.000000	1040.000000	228750	254632	Sun Feb 14 15:59:40 2021
4.223514	882.000000	799.000000	999.000000	228750	263335	Sun Feb 14 16:05:35 2021
3.167635	857.000000	753.000000	943.000000	228750	276090	Sun Feb 14 16:11:21 2021
2.375726	756.000000	676.000000	862.000000	228750	292581	Sun Feb 14 16:17:12 2021
1.781795	657.000000	598.000000	759.000000	228750	316445	Sun Feb 14 16:23:32 2021
1.336346	600.000000	512.000000	657.000000	228750	350000	Sun Feb 14 16:29:53 2021
1.002260	433.000000	399.000000	600.000000	228750	394755	Sun Feb 14 16:35:59 2021
0.751695	368.000000	309.000000	435.000000	228750	455176	Sun Feb 14 16:42:51 2021
0.563771	265.000000	217.000000	368.000000	228750	535792	Sun Feb 14 16:49:54 2021
0.422828	176.000000	143.000000	264.000000	228750	633761	Sun Feb 14 16:58:18 2021
0.317121	94.000000	69.000000	177.000000	228750	743974	Sun Feb 14 17:08:01 2021
0.237841	45.000000	24.000000	94.000000	228750	849339	Sun Feb 14 17:21:08 2021
0.178381	16.000000	5.000000	45.000000	228750	911761	Sun Feb 14 17:33:00 2021
0.133786	4.000000	2.000000	18.000000	224079	915000	Sun Feb 14 17:43:23 2021
0.100339	1.000000	1.000000	4.000000	223042	915000	Sun Feb 14 17:55:27 2021
0.075254	1.000000	1.000000	1.000000	222617	915000	Sun Feb 14 18:07:28 2021
